Sl.No.,GLIMS_ID,Glacier_ID,Longitude,Latitude,Area_sqKM,Elev_Max(m),Elev_Min(m),Elev_Mean(m),Slope_Max(degree),Slope_Mean(degree),Slope_Min(degree),Aspect(degree),Basin,index_right,HYBAS_L12,LENGTH_KM,DIST_DN_KM,DIST_UP_KM,CATCH_SKM,DIS_AV_CMS,ORD_STRA
357,G089585E28023N,PMogr16_85,89.585,28.023,0.03,5318,5172,5254.0,52.0,29.0,2.0,148.0,Mo Chhu,83410,4120828210,3.1799999872843423,706.1333482530382,10.555555555555555,18.728888723585342,0.5837777786784701,3.0
358,G089585E28015N,PMogr16_86,89.585,28.015,0.108,5387,5125,5243.0,55.0,26.0,1.0,263.0,Mo Chhu,83407,4120831940,3.701428617749895,702.7571323939732,12.34285729272025,19.871428557804652,0.58971429509776,2.0
359,G089676E28172N,PMogr16_111,89.676,28.172,0.448,5247,4971,5122.0,70.0,18.0,1.0,80.0,Mo Chhu,83411,4120828080,4.480000066757202,703.4199951171875,10.600000095367431,22.63800048828125,0.5563999861478806,2.0
360,G089479E28020N,PMogr16_69,89.479,28.02,0.24,5359,5067,5205.0,60.0,24.0,1.0,69.0,Mo Chhu,83407,4120831940,3.701428617749895,702.7571323939732,12.34285729272025,19.871428557804652,0.58971429509776,2.0
361,G089467E28039N,WMogr16_71,89.467,28.039,0.069,5644,5471,5555.0,62.0,25.0,1.0,136.0,Mo Chhu,83407,4120831940,3.701428617749895,702.7571323939732,12.34285729272025,19.871428557804652,0.58971429509776,2.0
362,G089480E28048N,PMogr16_72,89.48,28.048,0.221,5382,5162,5232.0,57.0,15.0,1.0,74.0,Mo Chhu,83407,4120831940,3.701428617749895,702.7571323939732,12.34285729272025,19.871428557804652,0.58971429509776,2.0
363,G089486E28059N,PMogr16_73,89.486,28.059,0.268,5769,5168,5480.0,58.0,31.0,1.0,160.0,Mo Chhu,83407,4120831940,3.701428617749895,702.7571323939732,12.34285729272025,19.871428557804652,0.58971429509776,2.0
364,G089487E28062N,PMogr16_74,89.487,28.062,0.035,5723,5400,5570.0,62.0,40.0,6.0,94.0,Mo Chhu,83407,4120831940,3.701428617749895,702.7571323939732,12.34285729272025,19.871428557804652,0.58971429509776,2.0
365,G089491E28062N,PMogr16_75,89.491,28.062,0.05,5361,5224,5269.0,58.0,24.0,1.0,84.0,Mo Chhu,83407,4120831940,3.701428617749895,702.7571323939732,12.34285729272025,19.871428557804652,0.58971429509776,2.0
366,G089492E28067N,PMogr16_77,89.492,28.067,0.022,5520,5390,5462.0,53.0,28.0,9.0,111.0,Mo Chhu,83407,4120831940,3.701428617749895,702.7571323939732,12.34285729272025,19.871428557804652,0.58971429509776,2.0
367,G089578E28030N,PMogr16_83,89.578,28.03,0.055,5296,5157,5224.0,57.0,25.0,3.0,278.0,Mo Chhu,83410,4120828210,3.1799999872843423,706.1333482530382,10.555555555555555,18.728888723585342,0.5837777786784701,3.0
368,G089603E28022N,PMogr16_91,89.603,28.022,1.203,5448,4987,5213.0,64.0,19.0,0.0,266.0,Mo Chhu,83410,4120828210,3.1799999872843423,706.1333482530382,10.555555555555555,18.728888723585342,0.5837777786784701,3.0
369,G089597E28014N,PMogr16_87,89.597,28.014,0.111,5426,5137,5295.0,56.0,24.0,4.0,290.0,Mo Chhu,83316,4120831540,6.168571369988578,686.6714215959821,25.714285714285715,23.44857140949794,3.7472858003207614,3.0
370,G089556E28089N,PMogr16_101,89.556,28.089,3.812,6470,4316,5229.0,79.0,32.0,0.0,123.0,Mo Chhu,83410,4120828210,3.1799999872843423,706.1333482530382,10.555555555555555,18.728888723585342,0.5837777786784701,3.0
371,G089536E28087N,PMogr16_94,89.536,28.087,0.14,6520,6311,6427.0,65.0,26.0,0.0,130.0,Mo Chhu,83407,4120831940,3.701428617749895,702.7571323939732,12.34285729272025,19.871428557804652,0.58971429509776,2.0
372,G089646E28171N,PMogr16_109,89.646,28.171,0.178,5382,5261,5314.0,47.0,17.0,0.0,92.0,Mo Chhu,93858,4120819521,0.0,0.0,0.0,0.0,0.0,0.0
373,G089613E28021N,PMogr16_90,89.613,28.021,0.087,5337,5158,5253.0,53.0,23.0,1.0,129.0,Mo Chhu,83349,4121463660,7.1724998280406,692.625,24.274999856948853,31.16500037908554,3.315499968826771,3.0
374,G089751E28170N,PMogr16_113,89.751,28.17,7.905,6678,4419,5306.0,77.0,32.0,0.0,256.0,Mo Chhu,83411,4120828080,4.480000066757202,703.4199951171875,10.600000095367431,22.63800048828125,0.5563999861478806,2.0
375,G089713E28171N,PMogr16_112,89.713,28.171,0.71,5661,4697,5194.0,73.0,35.0,2.0,284.0,Mo Chhu,83411,4120828080,4.480000066757202,703.4199951171875,10.600000095367431,22.63800048828125,0.5563999861478806,2.0
376,G089750E28145N,PMogr16_114,89.75,28.145,0.982,5961,5108,5412.0,64.0,29.0,1.0,233.0,Mo Chhu,83401,4120828370,3.3636363744735718,710.9909057617188,10.9000000520186,19.1145450852134,0.7741818224841898,2.0
377,G089762E28152N,PMogr16_116,89.762,28.152,1.437,5995,4957,5604.0,68.0,28.0,0.0,131.0,Mo Chhu,83401,4120828370,3.3636363744735718,710.9909057617188,10.9000000520186,19.1145450852134,0.7741818224841898,2.0
378,G089774E28162N,PMogr16_118,89.774,28.162,0.333,6448,5248,5601.0,69.0,39.0,2.0,157.0,Mo Chhu,83401,4120828370,3.3636363744735718,710.9909057617188,10.9000000520186,19.1145450852134,0.7741818224841898,2.0
379,G089781E28167N,PMogr16_120,89.781,28.167,0.658,5888,5070,5468.0,73.0,31.0,1.0,136.0,Mo Chhu,83401,4120828370,3.3636363744735718,710.9909057617188,10.9000000520186,19.1145450852134,0.7741818224841898,2.0
380,G089782E28179N,PMogr16_121,89.782,28.179,3.361,6479,4817,5485.0,75.0,29.0,0.0,103.0,Mo Chhu,83401,4120828370,3.3636363744735718,710.9909057617188,10.9000000520186,19.1145450852134,0.7741818224841898,2.0
381,G089801E28192N,PMogr16_124,89.801,28.192,0.177,5579,5235,5363.0,64.0,27.0,3.0,107.0,Mo Chhu,83401,4120828370,3.3636363744735718,710.9909057617188,10.9000000520186,19.1145450852134,0.7741818224841898,2.0
382,G089795E28194N,PMogr16_123,89.795,28.194,0.184,5460,5248,5354.0,73.0,24.0,1.0,86.0,Mo Chhu,83401,4120828370,3.3636363744735718,710.9909057617188,10.9000000520186,19.1145450852134,0.7741818224841898,2.0
383,G089780E28195N,PMogr16_122,89.78,28.195,3.162,6155,4898,5473.0,68.0,23.0,0.0,129.0,Mo Chhu,83401,4120828370,3.3636363744735718,710.9909057617188,10.9000000520186,19.1145450852134,0.7741818224841898,2.0
384,G089796E28244N,PMogr16_125,89.796,28.244,0.347,6286,5661,6014.0,65.0,39.0,2.0,191.0,Mo Chhu,83401,4120828370,3.3636363744735718,710.9909057617188,10.9000000520186,19.1145450852134,0.7741818224841898,2.0
385,G089827E28229N,PMogr16_126,89.827,28.229,2.391,6019,5126,5613.0,73.0,20.0,0.0,231.0,Mo Chhu,83401,4120828370,3.3636363744735718,710.9909057617188,10.9000000520186,19.1145450852134,0.7741818224841898,2.0
386,G089821E28216N,PMogr16_127,89.821,28.216,0.024,5604,5522,5572.0,61.0,29.0,1.0,123.0,Mo Chhu,83401,4120828370,3.3636363744735718,710.9909057617188,10.9000000520186,19.1145450852134,0.7741818224841898,2.0
387,G089826E28213N,PMogr16_139,89.826,28.213,0.229,5477,5259,5338.0,58.0,16.0,1.0,83.0,Mo Chhu,83401,4120828370,3.3636363744735718,710.9909057617188,10.9000000520186,19.1145450852134,0.7741818224841898,2.0
388,G089836E28223N,PMogr16_131,89.836,28.223,0.194,5913,5496,5736.0,70.0,31.0,1.0,185.0,Mo Chhu,83401,4120828370,3.3636363744735718,710.9909057617188,10.9000000520186,19.1145450852134,0.7741818224841898,2.0
389,G089764E28145N,PMogr16_115,89.764,28.145,0.071,5456,5219,5339.0,69.0,36.0,5.0,120.0,Mo Chhu,83401,4120828370,3.3636363744735718,710.9909057617188,10.9000000520186,19.1145450852134,0.7741818224841898,2.0
390,G089768E28157N,PMogr16_117,89.768,28.157,0.247,5662,5317,5457.0,69.0,29.0,1.0,121.0,Mo Chhu,83401,4120828370,3.3636363744735718,710.9909057617188,10.9000000520186,19.1145450852134,0.7741818224841898,2.0
391,G089846E28225N,PMogr16_132,89.846,28.225,0.051,5722,5547,5630.0,57.0,31.0,4.0,192.0,Mo Chhu,83401,4120828370,3.3636363744735718,710.9909057617188,10.9000000520186,19.1145450852134,0.7741818224841898,2.0
392,G089829E28221N,PMogr16_130,89.829,28.221,0.101,5759,5612,5690.0,70.0,27.0,0.0,167.0,Mo Chhu,83401,4120828370,3.3636363744735718,710.9909057617188,10.9000000520186,19.1145450852134,0.7741818224841898,2.0
393,G089768E28170N,PMogr16_119,89.768,28.17,0.294,6706,6295,6538.0,69.0,34.0,1.0,163.0,Mo Chhu,83401,4120828370,3.3636363744735718,710.9909057617188,10.9000000520186,19.1145450852134,0.7741818224841898,2.0
394,G089823E28216N,PMogr16_128,89.823,28.216,0.025,5528,5435,5479.0,51.0,31.0,7.0,93.0,Mo Chhu,83401,4120828370,3.3636363744735718,710.9909057617188,10.9000000520186,19.1145450852134,0.7741818224841898,2.0
395,G089868E28038N,PMogr16_166,89.868,28.038,0.839,5550,4767,5031.0,66.0,21.0,0.0,242.0,Mo Chhu,83316,4120831540,6.168571369988578,686.6714215959821,25.714285714285715,23.44857140949794,3.7472858003207614,3.0
396,G089863E28022N,PMogr16_167,89.863,28.022,0.154,5459,5198,5358.0,58.0,21.0,1.0,230.0,Mo Chhu,83316,4120831540,6.168571369988578,686.6714215959821,25.714285714285715,23.44857140949794,3.7472858003207614,3.0
397,G089869E28025N,PMogr16_168,89.869,28.025,0.293,5615,5193,5382.0,52.0,19.0,0.0,190.0,Mo Chhu,83320,4120831550,3.2771429674965993,688.9285714285714,10.499999931880406,15.358571367604393,0.4544285620961873,2.0
398,G089876E28026N,PMogr16_169,89.876,28.026,0.577,5881,5137,5521.0,64.0,27.0,0.0,202.0,Mo Chhu,83320,4120831550,3.2771429674965993,688.9285714285714,10.499999931880406,15.358571367604393,0.4544285620961873,2.0
399,G089899E28004N,PMogr16_172,89.899,28.004,0.769,5658,5113,5366.0,64.0,18.0,0.0,240.0,Mo Chhu,83320,4120831550,3.2771429674965993,688.9285714285714,10.499999931880406,15.358571367604393,0.4544285620961873,2.0
400,G089889E28019N,PMogr16_170,89.889,28.019,1.382,5594,5213,5369.0,59.0,16.0,0.0,209.0,Mo Chhu,83320,4120831550,3.2771429674965993,688.9285714285714,10.499999931880406,15.358571367604393,0.4544285620961873,2.0
401,G089909E27993N,PMogr16_173,89.909,27.993,2.866,5592,5216,5414.0,67.0,14.0,0.0,238.0,Mo Chhu,83320,4120831550,3.2771429674965993,688.9285714285714,10.499999931880406,15.358571367604393,0.4544285620961873,2.0
402,G089905E27974N,PMogr16_174,89.905,27.974,0.839,5611,5137,5355.0,62.0,23.0,0.0,249.0,Mo Chhu,83320,4120831550,3.2771429674965993,688.9285714285714,10.499999931880406,15.358571367604393,0.4544285620961873,2.0
403,G089907E27959N,PMogr16_177,89.907,27.959,2.148,5523,5061,5228.0,65.0,18.0,0.0,234.0,Mo Chhu,83320,4120831550,3.2771429674965993,688.9285714285714,10.499999931880406,15.358571367604393,0.4544285620961873,2.0
404,G089895E27950N,PMogr16_178,89.895,27.95,0.033,5257,5151,5201.0,47.0,30.0,12.0,308.0,Mo Chhu,83320,4120831550,3.2771429674965993,688.9285714285714,10.499999931880406,15.358571367604393,0.4544285620961873,2.0
405,G089895E27949N,PMogr16_179,89.895,27.949,0.109,5384,5158,5259.0,50.0,23.0,1.0,231.0,Mo Chhu,83320,4120831550,3.2771429674965993,688.9285714285714,10.499999931880406,15.358571367604393,0.4544285620961873,2.0
406,G089896E27944N,PMogr16_180,89.896,27.944,0.027,5179,5093,5136.0,47.0,23.0,1.0,261.0,Mo Chhu,83320,4120831550,3.2771429674965993,688.9285714285714,10.499999931880406,15.358571367604393,0.4544285620961873,2.0
407,G089910E27971N,PMogr16_176,89.91,27.971,0.048,5575,5402,5478.0,59.0,30.0,1.0,180.0,Mo Chhu,83320,4120831550,3.2771429674965993,688.9285714285714,10.499999931880406,15.358571367604393,0.4544285620961873,2.0
408,G089896E28010N,PMogr16_171,89.896,28.01,0.465,5645,5219,5408.0,60.0,23.0,1.0,234.0,Mo Chhu,83320,4120831550,3.2771429674965993,688.9285714285714,10.499999931880406,15.358571367604393,0.4544285620961873,2.0
409,G089883E28202N,PMogr16_133,89.883,28.202,0.525,5851,5349,5589.0,70.0,25.0,1.0,256.0,Mo Chhu,83401,4120828370,3.3636363744735718,710.9909057617188,10.9000000520186,19.1145450852134,0.7741818224841898,2.0
410,G089888E28191N,PMogr16_135,89.888,28.191,0.426,6206,5380,5680.0,71.0,36.0,2.0,260.0,Mo Chhu,83401,4120828370,3.3636363744735718,710.9909057617188,10.9000000520186,19.1145450852134,0.7741818224841898,2.0
411,G089885E28177N,PMogr16_137,89.885,28.177,1.596,6288,5246,5630.0,79.0,25.0,0.0,271.0,Mo Chhu,83401,4120828370,3.3636363744735718,710.9909057617188,10.9000000520186,19.1145450852134,0.7741818224841898,2.0
412,G089881E28157N,PMogr16_139,89.881,28.157,0.894,5745,5210,5535.0,70.0,22.0,0.0,254.0,Mo Chhu,83401,4120828370,3.3636363744735718,710.9909057617188,10.9000000520186,19.1145450852134,0.7741818224841898,2.0
413,G089851E28142N,PMogr16_142,89.851,28.142,0.877,5772,5200,5471.0,74.0,24.0,1.0,195.0,Mo Chhu,83401,4120828370,3.3636363744735718,710.9909057617188,10.9000000520186,19.1145450852134,0.7741818224841898,2.0
414,G089831E28131N,PMogr16_144,89.831,28.131,2.703,6201,4730,5283.0,75.0,26.0,0.0,189.0,Mo Chhu,83401,4120828370,3.3636363744735718,710.9909057617188,10.9000000520186,19.1145450852134,0.7741818224841898,2.0
415,G089813E28124N,PMogr16_146,89.813,28.124,0.459,5253,4833,4996.0,65.0,20.0,0.0,274.0,Mo Chhu,83401,4120828370,3.3636363744735718,710.9909057617188,10.9000000520186,19.1145450852134,0.7741818224841898,2.0
416,G089821E28116N,PMogr16_147,89.821,28.116,0.26,6260,5542,5803.0,74.0,48.0,2.0,264.0,Mo Chhu,83401,4120828370,3.3636363744735718,710.9909057617188,10.9000000520186,19.1145450852134,0.7741818224841898,2.0
417,G089815E28098N,PMogr16_150,89.815,28.098,1.586,5961,5119,5465.0,77.0,26.0,0.0,257.0,Mo Chhu,83401,4120828370,3.3636363744735718,710.9909057617188,10.9000000520186,19.1145450852134,0.7741818224841898,2.0
418,G089814E28088N,PMogr16_154,89.814,28.088,0.237,5803,5057,5536.0,68.0,34.0,1.0,215.0,Mo Chhu,83349,4121463660,7.1724998280406,692.625,24.274999856948853,31.16500037908554,3.315499968826771,3.0
419,G089824E28086N,PMogr16_155,89.824,28.086,0.143,5428,5114,5301.0,64.0,28.0,3.0,212.0,Mo Chhu,83349,4121463660,7.1724998280406,692.625,24.274999856948853,31.16500037908554,3.315499968826771,3.0
420,G089826E28075N,PMogr16_157,89.826,28.075,0.181,5353,5165,5264.0,57.0,24.0,0.0,228.0,Mo Chhu,83349,4121463660,7.1724998280406,692.625,24.274999856948853,31.16500037908554,3.315499968826771,3.0
421,G089826E28097N,PMogr16_151,89.826,28.097,0.122,5729,5386,5553.0,63.0,34.0,1.0,125.0,Mo Chhu,83349,4121463660,7.1724998280406,692.625,24.274999856948853,31.16500037908554,3.315499968826771,3.0
422,G089841E28100N,PMogr16_158,89.841,28.1,10.076,6422,4623,5435.0,76.0,17.0,0.0,183.0,Mo Chhu,83349,4121463660,7.1724998280406,692.625,24.274999856948853,31.16500037908554,3.315499968826771,3.0
423,G089855E28074N,PMogr16_160,89.855,28.074,0.046,5381,5221,5302.0,56.0,35.0,0.0,261.0,Mo Chhu,83349,4121463660,7.1724998280406,692.625,24.274999856948853,31.16500037908554,3.315499968826771,3.0
424,G089857E28072N,PMogr16_161,89.857,28.072,0.282,5499,5023,5282.0,68.0,28.0,1.0,255.0,Mo Chhu,83349,4121463660,7.1724998280406,692.625,24.274999856948853,31.16500037908554,3.315499968826771,3.0
425,G089856E28066N,PMogr16_162,89.856,28.066,0.242,5549,4968,5314.0,75.0,35.0,1.0,266.0,Mo Chhu,83349,4121463660,7.1724998280406,692.625,24.274999856948853,31.16500037908554,3.315499968826771,3.0
426,G089858E28056N,PMogr16_164,89.858,28.056,0.525,5641,4972,5224.0,64.0,22.0,1.0,244.0,Mo Chhu,83349,4121463660,7.1724998280406,692.625,24.274999856948853,31.16500037908554,3.315499968826771,3.0
427,G089844E28047N,PMogr16_165,89.844,28.047,0.183,5308,5029,5109.0,61.0,24.0,1.0,281.0,Mo Chhu,83349,4121463660,7.1724998280406,692.625,24.274999856948853,31.16500037908554,3.315499968826771,3.0
428,G089857E28085N,PMogr16_159,89.857,28.085,1.566,5974,4974,5318.0,79.0,23.0,0.0,213.0,Mo Chhu,83349,4121463660,7.1724998280406,692.625,24.274999856948853,31.16500037908554,3.315499968826771,3.0
429,G089883E28166N,PMogr16_138,89.883,28.166,1.415,5936,5295,5546.0,70.0,21.0,0.0,254.0,Mo Chhu,83401,4120828370,3.3636363744735718,710.9909057617188,10.9000000520186,19.1145450852134,0.7741818224841898,2.0
430,G089879E28149N,PMogr16_140,89.879,28.149,0.512,5751,5301,5516.0,60.0,24.0,0.0,263.0,Mo Chhu,83401,4120828370,3.3636363744735718,710.9909057617188,10.9000000520186,19.1145450852134,0.7741818224841898,2.0
431,G089845E28132N,PMogr16_143,89.845,28.132,1.367,6060,5111,5427.0,78.0,26.0,0.0,191.0,Mo Chhu,83401,4120828370,3.3636363744735718,710.9909057617188,10.9000000520186,19.1145450852134,0.7741818224841898,2.0
432,G089814E28108N,PMogr16_149,89.814,28.108,0.768,6242,5252,5537.0,78.0,24.0,0.0,236.0,Mo Chhu,83401,4120828370,3.3636363744735718,710.9909057617188,10.9000000520186,19.1145450852134,0.7741818224841898,2.0
433,G089827E28081N,PMogr16_156,89.827,28.081,0.094,5387,5169,5324.0,62.0,29.0,1.0,200.0,Mo Chhu,83349,4121463660,7.1724998280406,692.625,24.274999856948853,31.16500037908554,3.315499968826771,3.0
434,G089823E28129N,PMogr16_145,89.823,28.129,0.349,5667,5045,5326.0,69.0,24.0,0.0,196.0,Mo Chhu,83401,4120828370,3.3636363744735718,710.9909057617188,10.9000000520186,19.1145450852134,0.7741818224841898,2.0
435,G089802E28110N,PMogr16_148,89.802,28.11,0.136,5423,4971,5116.0,72.0,32.0,1.0,167.0,Mo Chhu,83401,4120828370,3.3636363744735718,710.9909057617188,10.9000000520186,19.1145450852134,0.7741818224841898,2.0
436,G089853E28063N,PMogr16_163,89.853,28.063,0.067,5267,5114,5185.0,55.0,28.0,3.0,246.0,Mo Chhu,83349,4121463660,7.1724998280406,692.625,24.274999856948853,31.16500037908554,3.315499968826771,3.0
437,G089351E27862N,PMogr16_58,89.351,27.862,0.067,5505,5338,5412.0,67.0,35.0,2.0,159.0,Mo Chhu,83451,4121465070,3.1300000006502326,711.5454600941051,10.127272692593662,13.87545429576527,0.4083636342124507,3.0
438,G089367E27870N,PMogr16_60,89.367,27.87,0.086,6506,5920,6211.0,67.0,49.0,13.0,225.0,Mo Chhu,83451,4121465070,3.1300000006502326,711.5454600941051,10.127272692593662,13.87545429576527,0.4083636342124507,3.0
439,G089405E27891N,PMogr16_64,89.405,27.891,0.219,5388,5047,5199.0,63.0,29.0,4.0,97.0,Mo Chhu,83406,4120831990,2.6310000002384184,704.1999938964843,12.65999994277954,14.89000008702278,0.8192000173032282,3.0
440,G089482E28016N,PMogr16_68,89.482,28.016,0.1,5326,5099,5228.0,61.0,24.0,0.0,84.0,Mo Chhu,83407,4120831940,3.701428617749895,702.7571323939732,12.34285729272025,19.871428557804652,0.58971429509776,2.0
441,G089601E28146N,PMogr16_105,89.601,28.146,0.391,5767,4896,5273.0,68.0,33.0,1.0,130.0,Mo Chhu,83410,4120828210,3.1799999872843423,706.1333482530382,10.555555555555555,18.728888723585342,0.5837777786784701,3.0
442,G089868E28134N,PMogr16_141,89.868,28.134,8.811,6349,4584,5478.0,76.0,18.0,0.0,189.0,Mo Chhu,83401,4120828370,3.3636363744735718,710.9909057617188,10.9000000520186,19.1145450852134,0.7741818224841898,2.0
443,G089887E28185N,PMogr16_136,89.887,28.185,0.872,6364,5134,5588.0,76.0,31.0,1.0,271.0,Mo Chhu,83401,4120828370,3.3636363744735718,710.9909057617188,10.9000000520186,19.1145450852134,0.7741818224841898,2.0
444,G089882E28198N,PMogr16_134,89.882,28.198,0.396,5873,5275,5568.0,72.0,32.0,0.0,258.0,Mo Chhu,83401,4120828370,3.3636363744735718,710.9909057617188,10.9000000520186,19.1145450852134,0.7741818224841898,2.0
445,G089594E27742N,PMogr16_48,89.594,27.742,0.19,5360,5096,5193.0,62.0,24.0,1.0,122.0,Mo Chhu,83162,4121467050,3.9314286538532803,661.5857195172991,27.35714272090367,20.29714294842311,5.776428582412856,4.0
446,G089839E27900N,PMogr16_182,89.839,27.9,0.022,5020,4980,5006.0,38.0,17.0,1.0,236.0,Mo Chhu,83208,4121466420,3.2262499630451202,666.9625015258789,27.98749977350235,15.280000150203705,6.824125024490058,4.0
447,G089873E27948N,PMogr16_181,89.873,27.948,0.045,5257,5110,5175.0,51.0,27.0,5.0,259.0,Mo Chhu,83320,4120831550,3.2771429674965993,688.9285714285714,10.499999931880406,15.358571367604393,0.4544285620961873,2.0
448,G089890E27969N,PMogr16_175,89.89,27.969,0.056,5228,5124,5180.0,43.0,26.0,6.0,299.0,Mo Chhu,83320,4120831550,3.2771429674965993,688.9285714285714,10.499999931880406,15.358571367604393,0.4544285620961873,2.0
449,G089795E28076N,PMogr16_152,89.795,28.076,0.051,5285,5100,5199.0,50.0,28.0,6.0,284.0,Mo Chhu,83401,4120828370,3.3636363744735718,710.9909057617188,10.9000000520186,19.1145450852134,0.7741818224841898,2.0
450,G089798E28080N,PMogr16_153,89.798,28.08,0.071,5367,5210,5295.0,58.0,29.0,7.0,55.0,Mo Chhu,83401,4120828370,3.3636363744735718,710.9909057617188,10.9000000520186,19.1145450852134,0.7741818224841898,2.0
451,G089322E27835N,WPagr16_33,89.322,27.835,9.246,6701,4342,5217.0,83.0,31.0,0.0,173.0,Pa Chhu,83289,4121466950,3.6400000188085766,680.9111124674479,10.877777735392252,17.13444435596466,0.4663333429230583,2.0
452,G089251E27798N,WPagr16_20,89.251,27.798,0.394,6087,5183,5544.0,71.0,39.0,3.0,144.0,Pa Chhu,83289,4121466950,3.6400000188085766,680.9111124674479,10.877777735392252,17.13444435596466,0.4663333429230583,2.0
453,G089281E27796N,WPagr16_24,89.281,27.796,1.577,5936,5059,5465.0,72.0,27.0,0.0,211.0,Pa Chhu,83289,4121466950,3.6400000188085766,680.9111124674479,10.877777735392252,17.13444435596466,0.4663333429230583,2.0
454,G089274E27818N,WPagr16_28,89.274,27.818,1.03,7051,5916,6465.0,69.0,37.0,1.0,153.0,Pa Chhu,83289,4121466950,3.6400000188085766,680.9111124674479,10.877777735392252,17.13444435596466,0.4663333429230583,2.0
455,G089284E27816N,WPagr16_30,89.284,27.816,1.191,6459,4864,5543.0,76.0,39.0,1.0,116.0,Pa Chhu,83289,4121466950,3.6400000188085766,680.9111124674479,10.877777735392252,17.13444435596466,0.4663333429230583,2.0
456,G089293E27829N,WPagr16_32,89.293,27.829,2.644,6409,5005,5521.0,82.0,36.0,0.0,143.0,Pa Chhu,83289,4121466950,3.6400000188085766,680.9111124674479,10.877777735392252,17.13444435596466,0.4663333429230583,2.0
457,G089303E27810N,WPagr16_31,89.303,27.81,1.121,4799,4385,4528.0,69.0,18.0,0.0,154.0,Pa Chhu,83289,4121466950,3.6400000188085766,680.9111124674479,10.877777735392252,17.13444435596466,0.4663333429230583,2.0
458,G089238E27800N,WPagr16_19,89.238,27.8,0.141,5962,5615,5756.0,67.0,33.0,1.0,214.0,Pa Chhu,83467,4121466830,0.0,0.0,0.0,0.0,0.0,0.0
459,G089267E27807N,WPagr16_22,89.267,27.807,2.657,7201,4842,5789.0,72.0,35.0,1.0,177.0,Pa Chhu,83289,4121466950,3.6400000188085766,680.9111124674479,10.877777735392252,17.13444435596466,0.4663333429230583,2.0
460,G089288E27793N,WPagr16_25,89.288,27.793,0.645,5654,5144,5439.0,58.0,22.0,1.0,178.0,Pa Chhu,83289,4121466950,3.6400000188085766,680.9111124674479,10.877777735392252,17.13444435596466,0.4663333429230583,2.0
461,G089274E27800N,WPagr16_23,89.274,27.8,0.065,5380,5179,5258.0,62.0,27.0,1.0,208.0,Pa Chhu,83289,4121466950,3.6400000188085766,680.9111124674479,10.877777735392252,17.13444435596466,0.4663333429230583,2.0
462,G089295E27792N,WPagr16_26,89.295,27.792,0.376,5618,5199,5381.0,66.0,26.0,1.0,159.0,Pa Chhu,83289,4121466950,3.6400000188085766,680.9111124674479,10.877777735392252,17.13444435596466,0.4663333429230583,2.0
463,G089416E27673N,WPagr16_8,89.416,27.673,0.375,5616,5037,5308.0,73.0,33.0,1.0,225.0,Pa Chhu,83255,4121467400,2.831000030040741,675.3599914550781,11.200000095367432,14.519999933242797,0.6637000024318697,2.0
464,G089420E27675N,WPagr16_9,89.42,27.675,0.079,5533,5348,5447.0,63.0,32.0,2.0,220.0,Pa Chhu,83255,4121467400,2.831000030040741,675.3599914550781,11.200000095367432,14.519999933242797,0.6637000024318697,2.0
465,G089405E27667N,WPagr16_7,89.405,27.667,0.134,5248,5019,5102.0,69.0,27.0,4.0,191.0,Pa Chhu,83255,4121467400,2.831000030040741,675.3599914550781,11.200000095367432,14.519999933242797,0.6637000024318697,2.0
466,G089405E27707N,WPagr16_11,89.405,27.707,0.192,5325,4996,5100.0,58.0,25.0,1.0,292.0,Pa Chhu,83255,4121467400,2.831000030040741,675.3599914550781,11.200000095367432,14.519999933242797,0.6637000024318697,2.0
467,G089407E27713N,WPagr16_12,89.407,27.713,0.127,5348,5055,5196.0,52.0,25.0,3.0,277.0,Pa Chhu,83255,4121467400,2.831000030040741,675.3599914550781,11.200000095367432,14.519999933242797,0.6637000024318697,2.0
468,G089409E27732N,WPagr16_14,89.409,27.732,0.195,5672,5375,5540.0,68.0,30.0,1.0,218.0,Pa Chhu,83255,4121467400,2.831000030040741,675.3599914550781,11.200000095367432,14.519999933242797,0.6637000024318697,2.0
469,G089406E27724N,WPagr16_13,89.406,27.724,0.506,5600,5000,5276.0,63.0,28.0,1.0,271.0,Pa Chhu,83255,4121467400,2.831000030040741,675.3599914550781,11.200000095367432,14.519999933242797,0.6637000024318697,2.0
470,G089343E27836N,WPagr16_34,89.343,27.836,1.153,6333,5225,5776.0,79.0,37.0,0.0,158.0,Pa Chhu,83289,4121466950,3.6400000188085766,680.9111124674479,10.877777735392252,17.13444435596466,0.4663333429230583,2.0
471,G089229E27784N,WPagr16_15,89.229,27.784,0.352,5784,5237,5491.0,71.0,33.0,1.0,243.0,Pa Chhu,83255,4121467400,2.831000030040741,675.3599914550781,11.200000095367432,14.519999933242797,0.6637000024318697,2.0
472,G089249E27775N,WPagr16_17,89.249,27.775,0.026,5373,5187,5301.0,62.0,34.0,4.0,191.0,Pa Chhu,83255,4121467400,2.831000030040741,675.3599914550781,11.200000095367432,14.519999933242797,0.6637000024318697,2.0
473,G089242E27789N,WPagr16_18,89.242,27.789,2.271,6042,4878,5462.0,69.0,23.0,0.0,139.0,Pa Chhu,83289,4121466950,3.6400000188085766,680.9111124674479,10.877777735392252,17.13444435596466,0.4663333429230583,2.0
