Sl.No.,GLIMS_ID,Glacier_ID,Longitude,Latitude,Area_sqKM,Elev_Max(m),Elev_Min(m),Elev_Mean(m),Slope_Max(degree),Slope_Mean(degree),Slope_Min(degree),Aspect(degree),Basin,index_right,HYBAS_L12,LENGTH_KM,DIST_DN_KM,DIST_UP_KM,CATCH_SKM,DIS_AV_CMS,ORD_STRA
281,G090261E27833N,MMagr16_389,90.261,27.833,0.203,5341,5078,5239.0,57.0,19.0,1.0,233.0,Mangde Chhu,83744,4121467150,2.7750000059604645,779.7333272298177,8.416666587193808,13.446666558583578,0.2948333335419497,2.0
282,G090266E27830N,MMagr16_390,90.266,27.83,0.117,5337,5126,5243.0,50.0,18.0,0.0,172.0,Mangde Chhu,83744,4121467150,2.7750000059604645,779.7333272298177,8.416666587193808,13.446666558583578,0.2948333335419497,2.0
283,G090266E27843N,MMagr16_393,90.266,27.843,0.044,5302,5203,5257.0,40.0,21.0,2.0,48.0,Mangde Chhu,83235,4120836360,5.026666634612614,674.5333319769966,15.499999947018093,22.80888917711046,0.7703333298365275,2.0
284,G090284E27905N,MMagr16_408,90.284,27.905,0.03,5448,5354,5404.0,50.0,23.0,1.0,185.0,Mangde Chhu,83744,4121467150,2.7750000059604645,779.7333272298177,8.416666587193808,13.446666558583578,0.2948333335419497,2.0
285,G090311E27884N,MMagr16_404,90.311,27.884,1.855,5490,5114,5316.0,50.0,13.0,0.0,254.0,Mangde Chhu,83744,4121467150,2.7750000059604645,779.7333272298177,8.416666587193808,13.446666558583578,0.2948333335419497,2.0
286,G090317E27819N,MMagr16_394,90.317,27.819,0.133,5312,5119,5202.0,68.0,21.0,1.0,255.0,Mangde Chhu,83744,4121467150,2.7750000059604645,779.7333272298177,8.416666587193808,13.446666558583578,0.2948333335419497,2.0
287,G090321E27825N,MMagr16_395,90.321,27.825,0.035,5259,5161,5204.0,57.0,23.0,3.0,60.0,Mangde Chhu,83673,4120839280,4.152500008543332,758.2333323160807,21.116666714350384,18.8383336464564,1.360749990368883,3.0
288,G090322E27868N,MMagr16_400,90.322,27.868,0.353,5463,5252,5365.0,51.0,16.0,0.0,202.0,Mangde Chhu,83744,4121467150,2.7750000059604645,779.7333272298177,8.416666587193808,13.446666558583578,0.2948333335419497,2.0
289,G090334E27861N,MMagr16_399,90.334,27.861,0.384,5393,5103,5274.0,78.0,15.0,0.0,120.0,Mangde Chhu,83732,4120835970,5.091428603444781,769.5142909458706,21.471428189958846,27.11714322226388,1.8867142572999,2.0
290,G090334E27857N,MMagr16_398,90.334,27.857,0.27,5338,5190,5249.0,78.0,12.0,0.0,196.0,Mangde Chhu,83673,4120839280,4.152500008543332,758.2333323160807,21.116666714350384,18.8383336464564,1.360749990368883,3.0
