HYRIV_ID,NEXT_DOWN,MAIN_RIV,LENGTH_KM,DIST_DN_KM,DIST_UP_KM,CATCH_SKM,UPLAND_SKM,ENDORHEIC,DIS_AV_CMS,ORD_STRA,ORD_CLAS,ORD_FLOW,HYBAS_L12,Shape_Leng,geometry,index_right,HYBAS_ID
40877323,40878849,41067217,17.450000762939453,515.7999877929688,25.200000762939453,45.06999969482422,77.80000305175781,0,3.075999975204468,2,4,6,4121481950.0,0.161662457805024,"LINESTRING (90.05208333333283 26.756249999999547, 90.05208333333283 26.73958333333291, 90.0562499999995 26.73541666666626, 90.05231669943744 26.7314833661042)",15616,4080888030
40877842,40881564,41067217,24.010000228881836,564.2999877929688,35.79999923706055,52.72999954223633,122.0999984741211,0,3.710000038146973,3,3,6,4120875440.0,0.222017796864486,"LINESTRING (90.7437499999995 26.80208333333291, 90.7437499999995 26.785416666666244, 90.73541666666617 26.777083333332918, 90.73541666666617 26.773459078202915)",15681,4080879450
40871276,40871776,41067217,5.789999961853027,579.2000122070312,9.600000381469727,7.670000076293945,7.699999809265137,0,0.237000003457069,1,5,7,4121481500.0,0.052083333333314,"LINESTRING (90.79791666666611 26.77916666666625, 90.79791666666611 26.776108097323682)",15664,4080882180
40871275,40871776,41067217,6.579999923706055,579.2999877929688,9.899999618530273,21.079999923706055,21.100000381469727,0,0.653999984264374,1,4,7,4121481500.0,0.060712782549341,"LINESTRING (90.77708333333291 26.77916666666625, 90.77708333333291 26.775866665080585)",15664,4080882180
40871777,40873330,41067217,11.0,577.9000244140625,13.399999618530273,34.4900016784668,34.5,0,1.062000036239624,1,3,6,4121481500.0,0.101812620177314,"LINESTRING (90.8249999999995 26.80416666666624, 90.83124999999947 26.79791666666626, 90.82708333333281 26.793749999999555, 90.82708333333281 26.789583333332892, 90.82291666666609 26.785416666666244, 90.82291666666609 26.7768505910653)",15664,4080882180
40870493,40875879,41067217,7.71999979019165,585.0999755859375,10.0,15.140000343322754,15.100000381469727,0,0.476000010967255,1,4,7,4120877890.0,0.072497895569161,"LINESTRING (90.72291666666612 26.791666666666224, 90.72291666666612 26.777083333332918, 90.7145833333328 26.768749999999564, 90.7145833333328 26.768645783086402)",15681,4080879450
40868985,40872022,41067217,2.400000095367432,584.9000244140625,4.900000095367432,5.559999942779541,5.599999904632568,0,0.175999999046326,1,4,7,4121479680.0,0.022201779686374,"LINESTRING (90.64791666666625 26.783333333332912, 90.64791666666625 26.777083333332918, 90.64808960296659 26.77691039703258)",15696,4080874730
40869991,40872021,41067217,7.630000114440918,580.0999755859375,10.399999618530273,8.8100004196167,8.800000190734863,0,0.280000001192093,1,5,7,4120874310.0,0.071783008588983,"LINESTRING (90.63541666666609 26.799999999999592, 90.63541666666609 26.793749999999555, 90.6346043379782 26.79293767131165)",15696,4080874730
40873805,40875191,41067217,2.859999895095825,500.3999938964844,5.900000095367432,5.940000057220459,5.900000095367432,0,0.25900000333786,1,4,7,4121484070.0,0.026368446353201,"LINESTRING (89.78958333333284 26.708333333332938, 89.78958333333284 26.706395440235543)",15592,4080897540
40873804,40875191,41067217,5.179999828338623,500.5,7.099999904632568,6.900000095367432,6.900000095367432,0,0.300999999046326,1,3,7,4121484070.0,0.047201779686442,"LINESTRING (89.78124999999946 26.729166666666224, 89.78124999999946 26.71874999999958, 89.7770833333328 26.714583333332918, 89.7770833333328 26.703392256162214)",15592,4080897540
40872817,40873078,41067217,4.449999809265137,502.5,7.0,7.090000152587891,7.099999904632568,0,0.307000011205673,1,4,7,4121481490.0,0.04318317096129,"MULTILINESTRING ((89.80416666666613 26.71666666666625, 89.81022964102252 26.710603692309892), (89.83867838813022 26.706249999999606, 89.83958333333291 26.706249999999606))",15592,4080897540
40873076,40876111,41067217,5.420000076293945,526.0,12.899999618530273,11.5,54.099998474121094,0,2.384999990463257,3,5,6,4120876340.0,0.050296115882829,"LINESTRING (89.62291666666616 26.739186713129023, 89.62291666666616 26.73541666666626, 89.61951729417524 26.732017294175353)",15620,4080883710
40872537,40874723,41067217,3.400000095367432,513.7000122070312,181.10000610351562,10.350000381469727,4589.2001953125,0,88.83599853515625,5,4,5,4121482410.0,0.030892556509874,"MULTILINESTRING ((89.75208333333282 26.73541666666626, 89.75213188010069 26.735368119898393), (89.75624999999948 26.724279120801125, 89.75624999999948 26.717591982690564))",15614,4080886640
40872538,40873078,41067217,4.75,502.5,10.699999809265137,10.539999961853027,33.20000076293945,0,1.41700005531311,2,3,6,4121481490.0,0.044403559372876,"LINESTRING (89.81874999999954 26.73958333333291, 89.8229166666662 26.73958333333291, 89.8229166666662 26.731249999999598, 89.83958333333291 26.714583333332918, 89.83958333333291 26.706249999999606)",15592,4080897540
40870770,40872538,41067217,0.930000007152557,507.5,3.299999952316284,3.069999933242798,3.099999904632568,0,0.131999999284744,1,4,7,4121481490.0,0.008838834764874,"LINESTRING (89.81249999999946 26.73333333333293, 89.81874999999954 26.73958333333291)",15592,4080897540
